name,data,table,sizey,sizex,type,type2,category
PI Ratio Thresholds,1118c0,1118c0,2,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (RPM),1118b8,1118b8,1,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (Load),1118bc,1118bc,1,,2D,synth2D,Fueling - Injector Ratio
PI Ratio Threshold (Unknown),62040,62040,1,,2D,synth2D,Fueling - Injector Ratio
GDI Pressure Multiplier C,1117f4,1117f4,1,,2D,synth2D,Fueling - GDI
Requested Torque Base,13c528,e3998,23,,2D,2D,Drive-by-Wire Throttle (DBW)
Cranking Fuel Injector Pulse Width B (ECT),117cac,e1114,3,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width E (ECT),117d14,e1130,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width F (ECT),117d5c,e114c,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width I (ECT),117da4,e1168,2,16,3D,3D,Fueling - Cranking
Cranking Fuel Injector Pulse Width J (ECT),117dec,e1184,2,16,3D,3D,Fueling - Cranking
Injector Minimum Open Time,111890,111890,1,,2D,synth2D,Fueling - Port Injectors
Engine Load Multiplier,111898,111898,1,,2D,synth2D,Mass Airflow / Engine Load
CPC Duty Multiplier,c64c,c64c,1,,2D,synth2D,CPC Solenoid
Engine Load Limiter A,104c6c,dd1a8,9,,2D,2D,Mass Airflow / Engine Load
Engine Load Limiter B,104ca4,dd1bc,9,,2D,2D,Mass Airflow / Engine Load
AVCS Base/Normal/Safe Hysteresis,129620,129620,2,,2D,synth2D,Variable Valve Timing (AVCS)
Idle Throttle Target for Airflow,13c6f0,e3a1c,34,,2D,2D,Idle Control
Idle Throttle Target B,13c5ec,e39e8,7,,2D,2D,Idle Control
Idle Throttle Target C,13c624,e39fc,10,,2D,2D,Idle Control
Idle Throttle Target D,13d984,e3c88,13,16,3D,3D,Idle Control
Failsafe Idle Throttle Target for Airflow,10c210,10c210,2,,2D,synth2D,Idle Control
Failsafe Idle Throttle Target B,10c220,de9dc,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target C,10c230,de9e8,2,,2D,2D,Idle Control
Failsafe Idle Throttle Target D,1107a8,df40c,2,2,3D,3D,Idle Control
CL to OL Transition with Delay (Injector Load Threshold),1141a8,e0400,16,,2D,2D,Fueling - CL/OL Transition
5V Sensor Limits (CEL) 0,125508,125508,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 1,12550c,12550c,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 2,125510,125510,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 3,125514,125514,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 4,1254e8,1254e8,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 5,1254ec,1254ec,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 6,1254f0,1254f0,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 8,125504,125504,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 9,125518,125518,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 10,109022,109022,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 11,1254f8,1254f8,2,,2D,synth2D,5V Sensor
5V Sensor Limits (CEL) 12,12551c,12551c,2,,2D,synth2D,5V Sensor
5V Sensor Scaling 0 Multiplier,1000a0,1000a0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 0 Offset,1000a4,1000a4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 1 Multiplier,1000a8,1000a8,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 1 Offset,1000ac,1000ac,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 2 Multiplier,125534,125534,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 2 Offset,1000b0,1000b0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 3 Multiplier,125538,125538,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 3 Offset,1000b4,1000b4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 5 Multiplier,1000c0,1000c0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 5 Offset,1000c4,1000c4,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 6 Multiplier,125544,125544,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 6 Offset,125548,125548,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 7 Multiplier,1000cc,1000cc,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 7 Offset,1000d0,1000d0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 8 Multiplier,1000dc,1000dc,1,,2D,synth2D,5V Sensor
5V Sensor Scaling 8 Offset,1000e0,1000e0,1,,2D,synth2D,5V Sensor
5V Sensor Scaling Table 3,126be0,e4234,31,,2D,2D,5V Sensor
5V Sensor Scaling Table 4,126c68,e4240,3,,2D,2D,5V Sensor
5V Sensor Scaling Table 5,126c80,e424c,3,,2D,2D,5V Sensor
Manifold Pressure Sensor Scaling A,12552c,12552c,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor Limits (CEL),1254e8,1254e8,2,,2D,synth2D,Manifold Pressure Sensor
Manifold Pressure Sensor CEL Delays,12545b,12545b,2,,2D,synth2D,Manifold Pressure Sensor
Primary Open Loop Fueling A,116550,e0d78,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling B,11670c,e0d94,23,13,3D,3D,Fueling - Primary Open Loop
Primary Open Loop Fueling Minimum,116d1c,e0f1c,23,13,3D,3D,Fueling - Primary Open Loop
Minimum Active Primary Open Loop Enrichment,111d54,111d54,1,,2D,synth2D,Fueling - Primary Open Loop
Front Oxygen Sensor Scaling A,127114,e42c4,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Scaling B,127184,e42d0,14,,2D,2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Rich Limit,52ff8,52ff8,1,,2D,synth2D,Fueling - O2 Sensor #1
Front Oxygen Sensor Compensation (Atm. Pressure),104e20,dd234,4,,2D,2D,Fueling - O2 Sensor #1
CL Fueling Unknown A,113c48,e01dc,2,13,2D,2D,Fueling - Closed Loop
CL Fueling Unknown F,111b04,111b04,6,6,2D,synth2D,Fueling - Closed Loop
