name	dataaddr	tableaddr	sizey	sizex	type	category
Idle Speed Target B	11d35c	c13a0	16		2D	Idle Control
Idle Speed Target C	11d37c	c13b4	16		2D	Idle Control
Idle Speed Target D	11d39c	c13c8	16		2D	Idle Control
Idle Speed Target E	11d3bc	c13dc	16		2D	Idle Control
Idle Speed Target F	11d3dc	c13f0	16		2D	Idle Control
Idle Speed Target G	11d3fc	c1404	16		2D	Idle Control
Idle Speed Target H	11d45c	c1418	16		2D	Idle Control
Idle Speed Target I	11d4bc	c142c	16		2D	Idle Control
Idle Speed Target J	11d51c	c1440	16		2D	Idle Control
Idle Speed Target K	11d57c	c1454	16		2D	Idle Control
Idle Speed Target L	11d5dc	c1468	16		2D	Idle Control
Idle Speed Stability A	11f1d8		11	16	3D	Idle Control
Idle Speed Stability B	11f3a4		11	16	3D	Idle Control
Idle Speed Stability Additive	11d638		6		2D	Idle Control
Ignition Dwell	123944	c2644	5	16	3D	Miscellaneous - Sensor Scalings
AFR Sensor Heater Protection	1006b4	bb404	5		2D	Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle A	100770		4		2D	Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B	100788		4		2D	Fueling - O2 Sensor #1
AFR Sensor Heating Limit	100e44		6	6	3D	Fueling - O2 Sensor #1
Fuel Multiplier Display Offset	101cf8		5		2D	Miscellaneous - Other
Calculated Torque A	102210	bb6ec	23	13	3D	Drive-by-Wire Throttle (DBW)
Calculated Torque B	1024f0	bb708	23	11	3D	Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant	1041fc		16		2D	Fueling - Cranking
Post Cranking Load Initial Reference Coolant	104304	bbdd8	16		2D	Fueling - Cranking
Cylinder Fill Percentage	1076c0		22	16	3D	Mass Airflow / Engine Load
Solenoid Control	1080a0	bc898	5	7	3D	CPC Solenoid
Solenoid Duty	108150	bc8b4	13	13	3D	CPC Solenoid
Misfire Count MAP Threshold A	109246	bc8f8	13		2D	Miscellaneous - Thresholds
Misfire Count MAP Threshold B	109253	bc90c	13		2D	Miscellaneous - Thresholds
