name,data,table,sizey,sizex,type,type2,category
CL Fueling Target Compensation B (Load),11997c,dfefc,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation C (Load),11bdec,e02ec,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation A (ECT),11970c,dfea8,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation B (ECT),119778,dfec4,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation (ECT) Disable,111b44,111b44,1,,2D,synth2D,Fueling - Closed Loop
CL to OL Transition with Delay (Base Pulse Width),1141b4,deb90,16,,2D,2D,Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear),11c200,11c200,6,,2D,synth2D,Fueling - CL/OL Transition
Injector Latency,118078,dfa58,3,5,3D,3D,Fueling - Port Injectors
Injector Flow Scaling,111904,111904,1,,2D,synth2D,Fueling - Port Injectors
Injector Flow Scaling BRZ,1118d0,1118d0,1,,2D,synth2D,Fueling - Port Injectors
Per Injector Pulse Width Compensation A,11717c,df764,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation B,11723c,df780,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation C,1172fc,df79c,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation D,1173bc,df7b8,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation E,11747c,df7d4,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation F,11753c,df7f0,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation G,1175fc,df80c,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation H,1176bc,df828,12,9,3D,3D,Fueling - Port Injectors
Cranking Fuel IPW Compensation A (RPM),115ff0,df368,2,2,3D,3D,Fueling - Cranking
Cranking Fuel IPW Compensation (MAP),112980,ddde8,10,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (Accelerator),1129a4,dddfc,6,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (IAT),1129c0,dde10,5,,2D,2D,Fueling - Cranking
Throttle Tip-in Enrichment A,114780,ded10,18,,2D,2D,Fueling - Tip-in Enrichment
Throttle Tip-in Enrichment B,1147ec,ded24,18,,2D,2D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation,11202c,11202c,1,,2D,synth2D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation (Throttle),112020,112020,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (RPM),112fd4,de204,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (MRP),113008,de218,9,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation A (ECT),113011,de22c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation B (ECT),114810,ded38,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation C (ECT),114830,ded4c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT),114870,ded6c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation,112028,112028,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold A (ECT),113021,de240,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold B (ECT),113031,de24c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Applied Counter Reset,1116cc,1116cc,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold A (ECT),114890,ded80,16,,2D,2D,Fueling - Tip-in Enrichment
